Gender,Major,Program,GPA
Male,Btech,ECE,7.0
Male,Btech,CHD,8.34
Male,Btech,ECE,8.25
Male,MS,ECE,6.91
Male,MS,CSE,7.94
Male,Btech,CHD,7.58
Male,Btech,CND,7.29
Male,Btech,ECE,7.01
Male,PHD,ECE,8.21
Male,Btech,ECE,7.58
Male,Btech,ECE,6.63
Female,Btech,CND,6.76
Female,Btech,CSE,5.62
Male,Btech,ECE,7.05
Male,Btech,CHD,7.2
Male,Btech,CSE,6.59
Female,PHD,ECE,8.56
Male,Btech,ECE,7.85
Female,MS,CSE,8.86
Male,MS,CND,9.11
Female,Btech,ECE,7.44
Male,Btech,CSE,6.12
Male,MS,ECE,7.11
Male,Btech,ECE,4.88
Female,Btech,CND,5.13
Female,Btech,ECE,6.72
Male,Btech,CSE,7.18
Male,Btech,ECE,6.99
Other,Btech,CHD,5.5
Male,Btech,ECE,7.71
Female,MS,CSE,7.88
Male,Btech,ECE,5.65
Male,Btech,CSE,7.06
Male,Btech,CSE,5.72
Female,Btech,ECE,5.7
Male,Btech,CHD,8.4
Male,MS,ECE,8.58
Male,Btech,CSE,7.94
Male,Btech,CHD,6.13
Female,Btech,CSE,7.36
Male,Btech,CSE,8.75
Female,Btech,CND,7.48
Male,Btech,ECE,8.0
Male,Btech,ECE,8.43
Female,Btech,ECE,8.08
Male,Btech,CND,7.94
Male,PHD,CND,8.58
Female,PHD,CND,7.9
Male,PHD,CSE,7.82
Male,Btech,ECE,7.32
Female,PHD,ECE,8.07
Male,Btech,CSE,8.82
Male,Btech,CHD,7.73
Female,Btech,ECE,6.92
Female,MS,CSE,8.07
Male,Btech,ECE,7.89
Male,MS,ECE,7.61
Female,PHD,CHD,8.47
Female,MS,ECE,7.36
Male,Btech,CSE,6.55
Male,Btech,CND,8.18
Male,Btech,ECE,8.48
Male,Btech,CND,8.79
Female,Btech,ECE,8.87
Female,Btech,CHD,6.51
Female,MS,CHD,7.67
Male,Btech,CSE,7.64
Male,MS,CND,8.12
Male,Btech,CSE,6.51
Male,Btech,CSE,7.3
Male,Btech,ECE,6.92
Male,Btech,CND,7.56
Female,MS,CSE,7.39
Male,MS,CSE,6.53
Female,Btech,CSE,7.27
Male,Btech,CND,7.04
Male,Btech,CHD,6.91
Male,Btech,ECE,6.26
Female,MS,CHD,8.07
Male,MS,CHD,7.32
Female,Btech,CSE,6.65
Female,Btech,CSE,5.87
Female,MS,ECE,7.82
Female,Btech,ECE,4.73
Male,Btech,CSE,7.87
Female,Btech,CSE,7.49
Female,MS,CSE,8.07
Male,Btech,ECE,7.29
Male,Btech,ECE,6.43
Male,MS,CHD,9.57
Male,Btech,ECE,9.65
Female,MS,ECE,7.54
Male,Btech,CSE,7.35
Male,MS,CSE,9.0
Female,Btech,CSE,4.95
Female,Btech,CSE,7.31
Male,Btech,CSE,4.94
Female,Btech,ECE,8.16
Male,Btech,CND,6.37
Male,Btech,CSE,6.51
Female,Btech,CSE,7.03
Female,MS,ECE,7.28
Male,MS,ECE,7.26
Female,MS,CSE,7.65
Male,Btech,ECE,7.46
Female,Btech,CSE,6.7
Male,Btech,CSE,7.11
Female,Btech,CSE,5.44
Female,Btech,CHD,5.27
Female,Btech,CSE,7.56
Female,Btech,CHD,7.82
Male,Btech,CSE,6.63
Female,Btech,ECE,8.15
Male,PHD,CHD,7.94
Female,Btech,CND,5.84
Male,MS,ECE,8.39
Male,Btech,ECE,6.6
Male,Btech,CSE,4.97
Male,MS,CSE,9.43
Female,Btech,CHD,7.7
Male,Btech,CSE,7.99
Male,MS,ECE,8.97
Female,Btech,CSE,7.26
Male,Btech,CHD,6.49
Male,Btech,ECE,8.59
Male,Btech,CND,7.16
Female,PHD,CND,7.21
Male,Btech,CHD,8.11
Male,Btech,ECE,4.33
Female,Btech,ECE,7.19
Male,Btech,ECE,7.1
Male,Btech,CND,7.63
Male,Btech,CSE,6.87
Male,MS,CND,7.88
Male,PHD,CHD,7.88
Male,MS,ECE,9.4
Male,Btech,CSE,5.91
Male,Btech,ECE,7.3
Female,PHD,CHD,8.37
Male,Btech,ECE,6.73
Female,MS,CHD,7.11
Male,Btech,CSE,5.96
Female,Btech,ECE,6.97
Female,Btech,ECE,6.15
Male,Btech,ECE,7.59
Female,MS,CSE,7.4
Male,Btech,ECE,9.13
Male,Btech,CSE,7.29
Male,Btech,ECE,7.05
Female,Btech,ECE,6.04
Male,Btech,ECE,5.28
Male,MS,CND,7.93
Male,Btech,ECE,7.42
Male,Btech,CSE,5.63
Female,PHD,CND,7.6
Male,Btech,ECE,6.43
Male,Btech,CSE,7.95
Male,Btech,ECE,7.41
Male,MS,CHD,7.61
Male,Btech,CSE,6.38
Female,Btech,CND,5.88
Male,MS,CHD,8.58
Male,Btech,ECE,7.87
Male,Btech,ECE,8.25
Male,Btech,ECE,7.51
Male,Btech,CSE,7.29
Male,Btech,ECE,7.66
Male,PHD,CHD,8.26
Male,Btech,CSE,6.79
Male,Btech,CSE,7.39
Female,MS,ECE,7.94
Female,MS,ECE,8.25
Male,Btech,CSE,6.7
Male,Btech,CSE,5.66
Male,MS,ECE,6.67
Female,Btech,ECE,5.87
Other,Btech,CSE,7.75
Male,MS,CND,7.67
Female,PHD,CSE,9.32
Male,Btech,CND,6.01
Female,Btech,ECE,7.51
Male,Btech,ECE,5.64
Male,PHD,CSE,8.01
Female,Btech,ECE,7.16
Female,Btech,CSE,5.94
Male,Btech,CND,6.35
Male,MS,CSE,9.23
Male,MS,CND,7.62
Male,Btech,CHD,7.35
Male,Btech,ECE,7.6
Female,Btech,ECE,6.42
Male,Btech,CSE,7.95
Other,MS,ECE,7.98
Male,Btech,CSE,6.79
Male,Btech,CSE,5.71
Male,Btech,ECE,5.16
Male,MS,ECE,6.43
Male,Btech,ECE,6.62
Male,PHD,CSE,7.7
Male,Btech,CSE,8.42
Female,Btech,CSE,8.21
Male,Btech,CND,6.09
Female,Btech,CSE,6.48
Male,Btech,ECE,6.51
Male,Btech,CSE,7.87
Female,MS,CHD,7.71
Female,PHD,ECE,7.51
Female,PHD,CHD,8.51
Female,Btech,CHD,7.18
Female,Btech,ECE,9.88
Male,PHD,CHD,8.45
Male,Btech,CSE,7.76
Male,PHD,CND,7.76
Male,MS,CHD,8.28
Female,PHD,CND,8.62
Female,Btech,CHD,5.92
Female,Btech,CSE,5.53
Female,Btech,CHD,5.93
Male,Btech,CSE,6.21
Male,Btech,CND,7.06
Female,Btech,CSE,7.07
Female,Btech,ECE,6.97
Female,Btech,ECE,6.93
Male,Btech,CSE,6.09
Male,Btech,CSE,6.94
Male,Btech,ECE,7.32
Female,Btech,CSE,7.12
Male,MS,CSE,7.15
Female,Btech,CSE,9.16
Male,MS,CHD,8.24
Female,MS,CSE,7.46
Male,Btech,CND,6.44
Female,Btech,ECE,7.53
Male,Btech,ECE,6.66
Female,PHD,CND,7.99
Male,MS,CND,8.03
Male,Btech,CHD,6.21
Male,PHD,CHD,7.49
Female,MS,ECE,8.07
Male,Btech,ECE,7.48
Male,Btech,CSE,6.58
Male,Btech,CSE,5.19
Female,Btech,CHD,7.04
Male,Btech,CND,4.2
Male,Btech,CSE,5.33
Male,Btech,CHD,6.97
Male,Btech,ECE,6.08
Male,Btech,CND,8.01
Male,MS,CND,8.77
Other,Btech,ECE,4.83
Female,Btech,CSE,7.01
Male,Btech,ECE,7.05
Male,MS,ECE,9.38
Male,Btech,CHD,7.77
Male,MS,ECE,7.71
Male,Btech,CSE,7.77
Male,Btech,CHD,4.93
Male,Btech,CSE,6.52
Male,Btech,CSE,6.5
Male,Btech,CSE,7.97
Male,MS,CND,8.4
Other,Btech,CSE,5.38
Female,Btech,ECE,7.19
Male,Btech,CSE,6.79
Female,Btech,CSE,7.53
Male,Btech,CHD,8.82
Male,Btech,CSE,7.87
Male,Btech,CSE,6.93
Female,Btech,ECE,6.94
Female,MS,CND,9.21
Male,MS,CSE,7.85
Male,MS,CHD,7.44
Male,Btech,CSE,5.83
Male,Btech,CSE,6.95
Male,Btech,CSE,7.51
Male,Btech,ECE,7.93
Male,PHD,CSE,8.58
Female,Btech,CSE,6.98
Female,Btech,ECE,6.36
Female,MS,CSE,6.93
Female,MS,CHD,7.86
Male,PHD,CND,8.18
Male,Btech,ECE,5.09
Male,PHD,ECE,8.47
Female,Btech,ECE,6.52
Male,MS,CND,8.14
Male,PHD,CND,8.56
Other,Btech,CSE,6.24
Female,PHD,ECE,7.63
Male,Btech,CHD,7.58
Female,Btech,CND,7.22
Male,MS,ECE,7.94
Male,Btech,CND,7.28
Male,MS,CSE,9.3
Male,Btech,CSE,5.94
Male,Btech,CSE,7.86
Male,MS,CND,8.13
Male,Btech,CSE,6.55
Female,MS,CND,8.71
Male,Btech,CND,8.37
Female,Btech,CND,6.48
Male,Btech,CSE,7.9
Male,Btech,CSE,5.75
Other,MS,CSE,8.13
Male,PHD,ECE,8.19
Female,Btech,CSE,6.8
Female,PHD,CND,8.01
Male,Btech,CSE,5.54
Female,Btech,ECE,7.53
Male,Btech,CSE,6.35
Male,PHD,CSE,8.39
Male,MS,CHD,7.81
Female,Btech,CSE,5.34
Male,Btech,CHD,6.18
Male,PHD,CHD,8.54
Female,MS,CND,6.69
Male,Btech,ECE,7.16
Male,Btech,CSE,6.36
Male,Btech,ECE,7.41
Male,Btech,ECE,5.74
Male,Btech,CSE,6.28
Female,Btech,ECE,6.95
Female,Btech,ECE,7.26
Female,Btech,ECE,7.65
Female,Btech,CND,5.97
Male,Btech,CSE,6.82
